trip_distance,duration_seconds,MPH
26.23,2205,42.824489048549104
20.27,1704,42.82394462907818
21.53,1810,42.82210081321759
16.64,1399,42.819154969788684
26.32,2213,42.816086263609215
16.72,1406,42.810809052685755
16.36,1376,42.80232717824536
25.82,2172,42.79557960468102
12.03,1012,42.7944654532572
16.2,1363,42.78796973336906
11.94,1005,42.77014775062675
18.27,1538,42.764630460305085
11.57,974,42.76385924165009
24.8,2088,42.75861937424232
15.83,1333,42.75168771593533
14.76,1243,42.74819052612599
18.76,1580,42.744304318971274
34.72,2925,42.73230919471154
17.3,1458,42.716047498914925
23.47,1978,42.715873371120416
25.64,2162,42.693801018841064
27.31,2303,42.690402986275544
15.89,1340,42.689553161165605
15.84,1336,42.6826351417039
20.72,1748,42.67276746457447
29.61,2499,42.6554630641319
17.5,1477,42.654028436018955
20.33,1716,42.65034949029242
17.4,1469,42.641251617909454
11.63,982,42.635438301412734
10.3,870,42.62069044442013
19.96,1686,42.61921512698788
16.29,1376,42.619188441786655
16.68,1409,42.617459970640745
8.83,746,42.611259685444765
16.05,1356,42.61061744352358
14.25,1204,42.607973421926914
11.8,997,42.60782415912288
22.84,1930,42.60310909291005
19.49,1647,42.601092395886695
23.3,1969,42.6003033282976
11.86,1003,42.56829388239092
30.14,2549,42.56728042476829
20.12,1702,42.55699354949485
15.21,1287,42.545454652159364
16.91,1431,42.54088011927575
17.34,1468,42.52316113713651
16.3,1380,42.521737140157946
10.89,922,42.520608715793834
17.02,1441,42.5204730381327
17.48,1480,42.51891780543972
18.4,1558,42.516045331648904
19.64,1663,42.51593373585952
16.9,1431,42.515722310767984
10.45,885,42.50847380040056
11.89,1007,42.50645604365632
18.06,1530,42.49411639045267
16.69,1414,42.492222010330565
17.37,1472,42.48098031334255
9.77,828,42.47826285984205
23.69,2008,42.47211251125867
16.3,1382,42.46020061752385
19.02,1613,42.450094016087554
17.77,1507,42.44990155802868
14.35,1217,42.44864533548974
24.62,2088,42.448277309023105
30.05,2549,42.44017153919889
10.61,900,42.439998626708984
16.74,1420,42.4394360394545
15.62,1325,42.43924497208505
17.61,1494,42.43373641048569
16.97,1440,42.42499828338623
13.96,1185,42.41012669816802
27.92,2370,42.41012669816802
18.56,1576,42.39593786636585
18.43,1565,42.39488888091553
17.9,1520,42.39473593862433
16.19,1375,42.38836503462358
14.96,1271,42.37293480513698
17.82,1514,42.3725223919202
8.38,712,42.370787095487785
24.19,2056,42.35603206352501
19.14,1627,42.35033669498118
18.61,1582,42.348926799788636
19.89,1691,42.34417374496415
2.61,222,42.32432262317554
16.67,1418,42.32157988339789
16.68,1419,42.3171255099597
16.83,1432,42.310055674121365
20.32,1730,42.284392428535945
20.19,1719,42.28272363153428
17.5,1490,42.281879194630875
43.77,3727,42.2785086256907
23.57,2007,42.278026358429095
20.75,1767,42.27504244482173
18.87,1607,42.272559440721984
19.09,1626,42.265682994659535
11.2,954,42.26415022364203
26.9,2292,42.251308301356445
9.4,801,42.24718929676527
15.05,1283,42.22915096387023
18.2,1552,42.21649661506574
23.31,1988,42.211266638527455
19.31,1647,42.20764910588499
11.52,983,42.18921836007041
27.21,2322,42.18604509220567
8.73,745,42.185232687316486
17.55,1498,42.17623314647395
24.51,2093,42.15766881221912
15.35,1311,42.15103079579787
19.34,1652,42.14527878287918
10.29,879,42.14334455366428
11.6,991,42.13925466527852
11.96,1022,42.12915864709305
11.7,1000,42.11999931335449
8.54,730,42.11506830502863
6.13,524,42.11450460302921
9.86,843,42.10676009968931
14.91,1275,42.098823098575366
19,1625,42.09230769230769
20.61,1763,42.08508349249326
22.71,1943,42.07719850957363
13.64,1167,42.077121881715435
18.64,1595,42.071471976635976
7.9,676,42.071006425033666
16.71,1430,42.06713056230879
10.96,938,42.063966031267704
16.82,1440,42.04999923706055
17.1,1464,42.04918126590916
17.6,1507,42.04379653171269
17.56,1504,42.031913615287614
19.6,1679,42.02501570773735
18.44,1580,42.015191090257865
17.01,1458,42.00000056514033
18.35,1573,41.99618650558869
26.82,2300,41.97912995711617
19.9,1707,41.96836474909723
19.03,1633,41.95223666376229
11.7,1004,41.95219055114989
3.11,267,41.93258285522461
15.48,1329,41.93227866971466
20.93,1798,41.906563458638935
18.38,1579,41.90500125317274
16.9,1452,41.90082550048828
21.95,1886,41.89819869914212
37.89,3256,41.89311971828451
9.6,825,41.890910755504265
26.85,2308,41.88041653955417
18.81,1617,41.87754983141161
14.5,1247,41.860465116279066
17.43,1499,41.85990733731342
8.37,720,41.84999942779541
31.05,2671,41.84949354302432
10.59,911,41.848518714946664
18.5,1592,41.834170854271356
21.25,1829,41.82613449972662
21.12,1818,41.82178384006613
11.87,1022,41.812132669288346
22.02,1896,41.810127451450015
7.7,663,41.809953715466804
43.56,3751,41.806452930911135
13.11,1129,41.803364715711325
23.74,2045,41.79168663864323
24.7,2129,41.76608865504088
16.68,1438,41.7579979823594
16.68,1438,41.7579979823594
15.68,1352,41.75148010253906
20.69,1784,41.75112215392792
20.42,1761,41.744463529050655
17.45,1505,41.740865612346866
16.97,1464,41.72950650824875
7.94,685,41.72846745400533
16.98,1465,41.725596144744564
20.41,1762,41.70034021037661
10.47,904,41.694691328875784
15.6,1347,41.692651353593924
17.96,1551,41.68665164674504
19.36,1672,41.68421184046987
19.36,1672,41.68421184046987
7.04,608,41.68421030044556
18.85,1628,41.68304752659153
19.37,1673,41.68081471682022
9.85,851,41.66862676062399
5.15,445,41.66292211982641
27.83,2405,41.65821194400907
19.15,1655,41.655588294083984
22.67,1960,41.63877565033582
7.04,609,41.61576332129869
17.21,1489,41.60913143324484
24.19,2093,41.607263221503786
11.95,1034,41.60541519666779
19.02,1646,41.59902894772128
18.14,1570,41.59490305906648
17.35,1502,41.58455484240414
19.16,1659,41.57685319510765
28.59,2476,41.568659349481585
17.32,1500,41.567999267578124
17.62,1526,41.56749870330291
16.58,1436,41.5654594187617
6.05,524,41.5648868065754
11.89,1030,41.557282753361086
8.6,745,41.55704882320942
15.58,1350,41.54666646321615
19.7,1707,41.54657454398478
9.59,831,41.54512701482118
18.77,1627,41.5316543625994
20.8,1803,41.53078050661008
16.9,1465,41.52900930150784
16.3,1413,41.528660476587376
8.34,723,41.526971714130575
18.49,1603,41.52464078354672
20.07,1740,41.524137299636315
17.37,1506,41.52191435673323
15.05,1305,41.51724190547549
10.92,947,41.51214390143422
6.93,601,41.51081427956579
17.33,1503,41.50898185318815
16.2,1405,41.50889875201568
12.07,1047,41.50143161544144
16.83,1460,41.49862994886424
17.62,1529,41.48594049786804
6.05,525,41.485715593610486
5.37,466,41.484977656679604
17.78,1543,41.48282726631486
18.84,1635,41.48256914331279
15.6,1354,41.47710588869351
17.04,1479,41.47667565645601
11.74,1019,41.475956011801166
9.11,791,41.46143965112274
19.3,1676,41.455845616597834
11.8,1025,41.44390310892245
9.29,807,41.44237901198377
26.12,2269,41.44204628525352
20.2,1755,41.43589900090144
11.44,994,41.4325940537021
10.76,935,41.42887788660386
24.1,2095,41.412888483671125
22.9,1991,41.40632778840231
25.99,2260,41.399999635409465
11.36,988,41.39271129963369
16.43,1429,41.39118341401876
26.27,2285,41.38818452864299
2.92,254,41.38582785298505
13.3,1157,41.38288736961582
19.84,1726,41.38122859172445
9.88,860,41.35814001393872
11.52,1003,41.34795777462535
27.63,2406,41.34164462957596
10.3,897,41.33779340763156
9.55,832,41.32211620991047
6.07,529,41.30812971262941
8.41,733,41.30422844568021
19.78,1724,41.30394574937577
15.27,1331,41.30127847329017
16.21,1413,41.2993607247711
17.17,1497,41.290581345797065
9.45,824,41.286406933682635
17.41,1519,41.261355793735085
16.17,1411,41.255847111735086
17.68,1543,41.249514645905904
17.61,1537,41.24658568462305
5.51,481,41.23908695213016
15.51,1354,41.23781449333428
20.71,1808,41.236723840764135
16.24,1418,41.229900688311275
13.8,1205,41.228216337465156
10.49,916,41.22707333627226
18.27,1596,41.210527348339106
18.6,1625,41.20615469125601
14.9,1302,41.19815562727264
24.49,2140,41.19813045608663
11.66,1019,41.19332625189754
22.47,1964,41.18737145014062
16.52,1444,41.18559670910611
12.81,1120,41.175001348767964
13.22,1156,41.16955100458798
16.9,1478,41.163733847570356
18.21,1593,41.152540303893005
26.45,2314,41.14952581961194
19.28,1687,41.14285860813505
18.03,1578,41.133081414400394
19.64,1719,41.130888774132856
18.21,1594,41.12672315188304
14.85,1300,41.12307797945463
16.46,1441,41.121441154824126
20.17,1766,41.116647947145076
17.69,1549,41.11297735481435
